MOF,water_resistance
RSM3013,0.09447446882762231
RSM2852,0.19451427629326043
RSM2845,0.1606613979104724
RSM2700,0.49838324132984807
RSM2728,0.20665289443469395
RSM2759,0.39104255302291824
RSM2754,0.26437445448945057
RSM2752,0.8260557341160525
RSM2742,0.02179348977171702
RSM2738,0.1685115697310766
RSM2729,0.65691208607727
RSM2724,0.020583332143053693
RSM2843,0.004916831344793735
RSM2722,0.006752667505401558
RSM2713,0.3391108264279051
RSM2712,0.05216999326691507
RSM2702,0.06316970208026071
RSM2771,0.6128751716471417
RSM2772,0.0046747578390852005
RSM2774,0.007785405056374279
RSM2783,0.9293587446381062
RSM2785,0.24849936282629828
RSM2789,1.0696229492867528
RSM2800,0.09270008517735735
RSM2808,0.10558621117242097
RSM2817,0.010570849439174313
RSM2818,0.13635351736420423
RSM2819,0.8808319015476086
RSM2826,0.007417109611782236
RSM2827,0.11620687905717277
RSM2831,0.010954440761754959
RSM2836,0.8726212486178123
RSM2842,0.07004401248725355
RSM4015,0.1597033682857321
RSM2182,0.9423846124702175
str_m4_o4_o14_acs_sym.127,0.01267118515075101
str_m4_o4_o11_acs_sym.80,0.021608068277487
str_m4_o4_o11_acs_sym.161,0.08081942668090945
str_m4_o22_o24_acs_sym.91,0.005859935624000564
str_m4_o22_o24_acs_sym.66,0.013263437735064788
str_m4_o22_o24_acs_sym.30,0.004160277674021279
str_m4_o17_o17_acs_sym.32,0.237512204508782
str_m4_o22_o22_acs_sym.97,0.008139304634637813
str_m4_o22_o22_acs_sym.91,0.012153581825783851
str_m4_o22_o22_acs_sym.73,0.010902393121561825
str_m4_o22_o22_acs_sym.29,0.008332701870897996
str_m4_o22_o22_acs_sym.116,0.0031432405372610133
str_m4_o4_o14_acs_sym.3,0.00510574692058658
str_m4_o4_o15_acs_sym.13,0.03545810821622308
str_m4_o4_o15_acs_sym.20,0.05147256317572499
str_m4_o4_o22_acs_sym.111,0.006534888494530096
str_m4_o4_o22_acs_sym.138,0.011891267384574977
str_m4_o4_o22_acs_sym.167,0.02174906636526322
str_m4_o4_o22_acs_sym.183,0.006127409797134526
str_m4_o4_o4_acs_sym.127,0.01742448788809785
str_m4_o4_o5_acs_sym.113,0.005827819541632592
str_m4_o4_o5_acs_sym.136,0.01379819409683246
str_m4_o4_o9_acs_sym.52,0.0025560449306518906
str_m4_o5_o14_acs_sym.104,0.0027133929776042617
str_m4_o5_o14_acs_sym.175,0.0011184159733895274
str_m4_o5_o24_acs_sym.154,0.02014811364170736
str_m4_o5_o24_acs_sym.178,0.019140666739625323
str_m5_o1_o16_sra_sym.97,0.9491751012365481
str_m4_o1_o4_acs_sym.68,0.07538502913491633
str_m4_o1_o4_acs_sym.170,0.01708038631621433
str_m4_o1_o4_acs_sym.145,0.028240328371204295
str_m4_o1_o22_acs_sym.92,0.002623596333652342
str_m4_o1_o22_acs_sym.73,0.00881998607364131
str_m4_o17_o17_acs_sym.171,0.3291264845019718
